
 ▐▛███▜▌   Claude Code v2.1.41
│ ────────────────────────────────────────                                     │
│ File: components/player/dubbing/VoiceSelector.tsx                            │
│ Purpose: Voice picker                                                        │
│ ────────────────────────────────────────                                     │
│ File: components/player/dubbing/LanguageRatio.tsx                            │
│ Purpose: Volume ratio slider                                                 │
│ ────────────────────────────────────────                                     │
│ File: components/player/dubbing/DubbingPremiumGate.tsx                       │
│ Purpose: Premium upsell                                                      │
│ ────────────────────────────────────────                                     │
│ File: components/player/dubbing/LiveDubbingOverlayMobile.tsx                 │
│ Purpose: Live dubbing wrapper                                                │
│ ────────────────────────────────────────                                     │
│ File: components/player/dubbing/LiveDubbingControlsMobile.tsx                │
│ Purpose: Live controls wrapper                                               │
│ ────────────────────────────────────────                                     │
│ File: components/player/dubbing/index.ts                                     │
│ Purpose: Barrel export                                                       │
│                                                                              │
│ Reuse: shared/hooks/useLiveDubbing.ts,                                       │
│ shared/components/player/LiveDubbingOverlay.tsx                              │
│                                                                              │
│ 1D. Cultural Context                                                         │
│                                                                              │
│ File: components/player/cultural/CulturalExplanationSheet.tsx                │
│ Purpose: Bottom sheet with context                                           │
│ ────────────────────────────────────────                                     │
│ File: components/player/cultural/CulturalContextBadge.tsx                    │
│ Purpose: Inline badge                                                        │
│ ────────────────────────────────────────                                     │
│ File: components/player/cultural/ShoreshHighlight.tsx                        │
│ Purpose: Hebrew root highlight                                               │
│ ────────────────────────────────────────                                     │
│ File: components/player/cultural/TranslationPopover.tsx                      │
│ Purpose: Word translation popover                                            │
│ ────────────────────────────────────────                                     │
│ File: components/player/cultural/index.ts                                    │
│ Purpose: Barrel export                                                       │
│                                                                              │
│ 1E. Scene Search + Catch-up + TalkBack + Channel Chat + Misc                 │
│                                                                              │
│ File: components/player/SceneSearch.tsx                                      │
│ Purpose: Scene search bottom sheet                                           │
│ ────────────────────────────────────────                                     │
│ File: hooks/useSceneSearch.ts                                                │
│ Purpose: Scene search hook                                                   │
│ ────────────────────────────────────────                                     │
│ File: components/player/catchup/CatchUpView.tsx                              │
│ Purpose: Catch-up interface                                                  │
│ ────────────────────────────────────────                                     │
│ File: components/player/catchup/CatchUpSummary.tsx                           │
│ Purpose: AI summary                                                          │
│ ────────────────────────────────────────                                     │
│ File: components/player/catchup/CatchUpAutoPrompt.tsx                        │
│ Purpose: Auto-prompt                                                         │
│ ────────────────────────────────────────                                     │
│ File: components/player/catchup/index.ts                                     │
│ Purpose: Barrel export                                                       │
│ ────────────────────────────────────────                                     │
│ File: components/player/talkback/TalkBackOverlay.tsx                         │
│ Purpose: Voice discussion overlay                                            │
│ ────────────────────────────────────────                                     │
│ File: components/player/talkback/TalkBackResult.tsx                          │
│ Purpose: Results display                                                     │
│ ────────────────────────────────────────                                     │
│ File: components/player/talkback/TalkBackCharacter.tsx                       │
│ Purpose: Character persona                                                   │
│ ────────────────────────────────────────                                     │
│ File: components/player/talkback/index.ts                                    │
│ Purpose: Barrel export                                                       │
│ ────────────────────────────────────────                                     │
│ File: components/player/ChannelChat.tsx                                      │
│ Purpose: Live viewer chat                                                    │
│ ────────────────────────────────────────                                     │
│ File: components/player/StreamLimitExceeded.tsx                              │
│ Purpose: Stream limit modal                                                  │
│ ────────────────────────────────────────                                     │
│ File: components/player/OpenSubtitlesDownload.tsx                            │
│ Purpose: Download external subs                                              │
│                                                                              │
│ 1F. Player Screen Modification                                               │
│                                                                              │
│ Modify screens/PlayerScreenMobile.tsx to add toggle buttons for: AI          │
│ Companion, Dubbing, Subtitle Mode, Scene Search, TalkBack, Channel Chat in   │
│ the player control bar.                                                      │
│                                                                              │
│ ---                                                                          │
│ Phase 2: Gamification & Engagement (~20 new files, 2 new routes)             │
│                                                                              │
│ 2A. Trivia/Quiz                                                              │
│                                                                              │
│ ┌───────────────────────────────────────────────┬─────────────────────────── │
│ ┐                                                                            │
│ │                     File                      │          Purpose           │
│ │                                                                            │
│ ├───────────────────────────────────────────────┼─────────────────────────── │
│ ┤                                                                            │
│ │ screens/TriviaScreenMobile.tsx                │ Trivia hub screen          │
│ │                                                                            │
│ ├───────────────────────────────────────────────┼─────────────────────────── │
│ ┤                                                                            │
│ │ components/trivia/TriviaSettingsMobile.tsx    │ Difficulty/category prefs  │
│ │                                                                            │
│ ├───────────────────────────────────────────────┼─────────────────────────── │
│ ┤                                                                            │
│ │ components/trivia/TriviaFactsOverlay.tsx      │ Facts during playback      │
│ │                                                                            │
│ ├───────────────────────────────────────────────┼─────────────────────────── │
│ ┤                                                                            │
│ │ components/trivia/QuizOverlayMobile.tsx       │ Mobile quiz wrapper        │
│ │                                                                            │
│ ├───────────────────────────────────────────────┼─────────────────────────── │
│ ┤                                                                            │
│ │ components/trivia/ComprehensionQuizMobile.tsx │ Comprehension wrapper      │
│ │                                                                            │
│ ├───────────────────────────────────────────────┼─────────────────────────── │
│ ┤                                                                            │
│ │ components/trivia/index.ts                    │ Barrel export              │
│ │                                                                            │
│ └───────────────────────────────────────────────┴─────────────────────────── │
│ ┘                                                                            │
│                                                                              │
│ Reuse: shared/components/quiz/*, shared/stores/quizStore.ts,                 │
│ shared/stores/triviaStore.ts                                                 │
│                                                                              │
│ 2B. Rewards System                                                           │
│                                                                              │
│ ┌────────────────────────────────────────────┬────────────────────┐          │
│ │                    File                    │      Purpose       │          │
│ ├────────────────────────────────────────────┼────────────────────┤          │
│ │ screens/RewardsScreenMobile.tsx            │ Rewards hub        │          │
│ ├────────────────────────────────────────────┼────────────────────┤          │
│ │ components/rewards/CouponShop.tsx          │ Points redemption  │          │
│ ├────────────────────────────────────────────┼────────────────────┤          │
│ │ components/rewards/ShekelsWallet.tsx       │ Balance/history    │          │
│ ├────────────────────────────────────────────┼────────────────────┤          │
│ │ components/rewards/TransactionRowCard.tsx  │ Transaction row    │          │
│ ├────────────────────────────────────────────┼────────────────────┤          │
│ │ components/rewards/LeaderboardMobile.tsx   │ Rankings           │          │
│ ├────────────────────────────────────────────┼────────────────────┤          │
│ │ components/rewards/LeaderboardRowCard.tsx  │ Leaderboard entry  │          │
│ ├────────────────────────────────────────────┼────────────────────┤          │
│ │ components/rewards/MissionsLeaderboard.tsx │ Mission-specific   │          │
│ ├────────────────────────────────────────────┼────────────────────┤          │
│ │ components/rewards/LevelProgress.tsx       │ Level progress bar │          │
│ ├────────────────────────────────────────────┼────────────────────┤          │
│ │ components/rewards/index.ts                │ Barrel export      │          │
│ └────────────────────────────────────────────┴────────────────────┘          │
│                                                                              │
│ Reuse: shared/stores/rewardStore.ts, rewardsService                          │
│                                                                              │
│ Routes to add: Trivia: { contentId?: string }, Rewards: { profileId?: string │
│  }                                                                           │
│                                                                              │
│ ---                                                                          │
│ Phase 3: Social & Communication (~15 new files, 3 new routes)                │
│                                                                              │
│ 3A. Direct Messages                                                          │
│                                                                              │
│ ┌─────────────────────────────────────────┬─────────────────────┐            │
│ │                  File                   │       Purpose       │            │
│ ├─────────────────────────────────────────┼─────────────────────┤            │
│ │ screens/DirectMessagesScreenMobile.tsx  │ DM inbox            │            │
│ ├─────────────────────────────────────────┼─────────────────────┤            │
│ │ screens/ConversationScreenMobile.tsx    │ Conversation thread │            │
│ ├─────────────────────────────────────────┼─────────────────────┤            │
│ │ components/social/MessageBubble.tsx     │ Message bubble      │            │
│ ├─────────────────────────────────────────┼─────────────────────┤            │
│ │ components/social/MessageInputBar.tsx   │ Message input       │            │
│ ├─────────────────────────────────────────┼─────────────────────┤            │
│ │ components/social/OnlineStatusBadge.tsx │ Online indicator    │            │
│ ├─────────────────────────────────────────┼─────────────────────┤            │
│ │ components/social/UserAvatarRow.tsx     │ User list row       │            │
│ ├─────────────────────────────────────────┼─────────────────────┤            │
│ │ components/social/index.ts              │ Barrel export       │            │
│ └─────────────────────────────────────────┴─────────────────────┘            │
│                                                                              │
│ 3B. Chess Game                                                               │
│                                                                              │
│ ┌───────────────────────────────────────┬──────────────────────┐             │
│ │                 File                  │       Purpose        │             │
│ ├───────────────────────────────────────┼──────────────────────┤             │
│ │ screens/ChessScreenMobile.tsx         │ Chess screen         │             │
│ ├───────────────────────────────────────┼──────────────────────┤             │
│ │ components/chess/ChessBoard.tsx       │ 8x8 board            │             │
│ ├───────────────────────────────────────┼──────────────────────┤             │
│ │ components/chess/ChessPiece.tsx       │ Piece rendering      │             │
│ ├───────────────────────────────────────┼──────────────────────┤             │
│ │ components/chess/ChessControls.tsx    │ Game controls        │             │
│ ├───────────────────────────────────────┼──────────────────────┤             │
│ │ components/chess/ChessMoveHistory.tsx │ Move history         │             │
│ ├───────────────────────────────────────┼──────────────────────┤             │
│ │ components/chess/index.ts             │ Barrel export        │             │
│ ├───────────────────────────────────────┼──────────────────────┤             │
│ │ hooks/useChessGame.ts                 │ Game state/WebSocket │             │
│ └───────────────────────────────────────┴──────────────────────┘             │
│                                                                              │
│ Routes: DirectMessages, Conversation: { conversationId, recipientId,         │
│ recipientName }, Chess: { gameId?, opponentId? }                             │
│                                                                              │
│ ---                                                                          │
│ Phase 4: Cultural & Content (~16 new files, 4 new routes)                    │
│                                                                              │
│ 4A. Glossary                                                                 │
│                                                                              │
│ ┌────────────────────────────────────────┬─────────────────────┐             │
│ │                  File                  │       Purpose       │             │
│ ├────────────────────────────────────────┼─────────────────────┤             │
│ │ screens/GlossaryScreenMobile.tsx       │ Searchable glossary │             │
│ ├────────────────────────────────────────┼─────────────────────┤             │
│ │ screens/GlossaryDetailScreenMobile.tsx │ Word detail         │             │
│ ├────────────────────────────────────────┼─────────────────────┤             │
│ │ hooks/useGlossary.ts                   │ Search/cache hook   │             │
│ └────────────────────────────────────────┴─────────────────────┘             │
│                                                                              │
│ 4B. Shabbat Mode                                                             │
│                                                                              │
│ ┌──────────────────────────────────────┬──────────────────┐                  │
│ │                 File                 │     Purpose      │                  │
│ ├──────────────────────────────────────┼──────────────────┤                  │
│ │ components/shabbat/ShabbatBanner.tsx │ Countdown banner │                  │
│ ├──────────────────────────────────────┼──────────────────┤                  │
│ │ components/shabbat/ZmanimDisplay.tsx │ Prayer times     │                  │
│ ├──────────────────────────────────────┼──────────────────┤                  │
│ │ components/shabbat/index.ts          │ Barrel export    │                  │
│ └──────────────────────────────────────┴──────────────────┘                  │
│                                                                              │
│ Reuse: shared/hooks/useShabbatMode.tsx, apiZmanService                       │
│                                                                              │
│ 4C. Culture Content                                                          │
│                                                                              │
│ ┌───────────────────────────────────────────┬───────────────┐                │
│ │                   File                    │    Purpose    │                │
│ ├───────────────────────────────────────────┼───────────────┤                │
│ │ screens/CultureScreenMobile.tsx           │ Culture hub   │                │
│ ├───────────────────────────────────────────┼───────────────┤                │
│ │ components/culture/CultureCard.tsx        │ Culture card  │                │
│ ├───────────────────────────────────────────┼───────────────┤                │
│ │ components/culture/JerusalemRowMobile.tsx │ Jerusalem row │                │
│ ├───────────────────────────────────────────┼───────────────┤                │
│ │ components/culture/TelAvivRowMobile.tsx   │ Tel Aviv row  │                │
│ ├───────────────────────────────────────────┼───────────────┤                │
│ │ components/culture/index.ts               │ Barrel export │                │
│ └───────────────────────────────────────────┴───────────────┘                │
│                                                                              │
│ Reuse: shared/components/JerusalemRow.tsx, shared/components/TelAvivRow.tsx  │
│                                                                              │
│ 4D. Star Story                                                               │
│                                                                              │
│ ┌───────────────────────────────────────────────┬──────────────────┐         │
│ │                     File                      │     Purpose      │         │
│ ├───────────────────────────────────────────────┼──────────────────┤         │
│ │ screens/StarStoryScreenMobile.tsx             │ Star Story hub   │         │
│ ├───────────────────────────────────────────────┼──────────────────┤         │
│ │ components/star-story/EpisodeGenerator.tsx    │ Episode creation │         │
│ ├───────────────────────────────────────────────┼──────────────────┤         │
│ │ components/star-story/EpisodeProgress.tsx     │ Progress display │         │
│ ├───────────────────────────────────────────────┼──────────────────┤         │
│ │ components/star-story/VideoProcessingStep.tsx │ Processing step  │         │
│ ├───────────────────────────────────────────────┼──────────────────┤         │
│ │ components/star-story/index.ts                │ Barrel export    │         │
│ ├───────────────────────────────────────────────┼──────────────────┤         │
│ │ hooks/useStarStory.ts                         │ Generation state │         │
│ └───────────────────────────────────────────────┴──────────────────┘         │
│                                                                              │
│ Routes: Glossary, GlossaryDetail: { wordId }, Culture, StarStory: {          │
│ profileId }                                                                  │
│                                                                              │
│ ---                                                                          │
│ Phase 5: ZehAni Advanced (~18 new files, 1 new route)                        │
│                                                                              │
│ ┌────────────────────────────────────────────┬─────────────────────────┐     │
│ │                    File                    │         Purpose         │     │
│ ├────────────────────────────────────────────┼─────────────────────────┤     │
│ │ components/zehani/ARFaceCapture.tsx        │ Face capture for avatar │     │
│ ├────────────────────────────────────────────┼─────────────────────────┤     │
│ │ components/zehani/MagicMirror.tsx          │ Mirror experience       │     │
│ ├────────────────────────────────────────────┼─────────────────────────┤     │
│ │ components/zehani/MagicMirrorContent.tsx   │ Mirror content          │     │
│ ├────────────────────────────────────────────┼─────────────────────────┤     │
│ │ components/zehani/Avatar3DPreview.tsx      │ 3D avatar preview       │     │
│ ├────────────────────────────────────────────┼─────────────────────────┤     │
│ │ components/zehani/AvatarSettings.tsx       │ Avatar settings         │     │
│ ├────────────────────────────────────────────┼─────────────────────────┤     │
│ │ components/zehani/BiometricConsent.tsx     │ Consent flow            │     │
│ ├────────────────────────────────────────────┼─────────────────────────┤     │
│ │ components/zehani/SceneTrigger.tsx         │ Scene-based reactions   │     │
│ ├────────────────────────────────────────────┼─────────────────────────┤     │
│ │ components/zehani/SceneTriggerSubviews.tsx │ Sub-components          │     │
│ ├────────────────────────────────────────────┼─────────────────────────┤     │
│ │ components/zehani/V2VResult.tsx            │ V2V results             │     │
│ ├────────────────────────────────────────────┼─────────────────────────┤     │
│ │ components/zehani/HighlightReel.tsx        │ Highlight reel          │     │
│ ├────────────────────────────────────────────┼─────────────────────────┤     │
│ │ components/zehani/LiveAvatarOverlay.tsx    │ Live avatar             │     │
│ ├────────────────────────────────────────────┼─────────────────────────┤     │
│ │ components/zehani/ContactsManagement.tsx   │ Contacts                │     │
│ ├────────────────────────────────────────────┼─────────────────────────┤     │
│ │ components/zehani/FeedbackInbox.tsx        │ Feedback                │     │
│ ├────────────────────────────────────────────┼─────────────────────────┤     │
│ │ components/zehani/index.ts                 │ Barrel export           │     │
│ ├────────────────────────────────────────────┼─────────────────────────┤     │
│ │ screens/V2VPracticeScreenMobile.tsx        │ V2V practice            │     │
│ └────────────────────────────────────────────┴─────────────────────────┘     │
│                                                                              │
│ Route: V2VPractice: { profileId, avatarId }                                  │
│                                                                              │
│ ---                                                                          │
│ Phase 6: Auth & Security (~8 new files, 4 new routes)                        │
│                                                                              │
│ ┌───────────────────────────────────────────┬─────────────────────┐          │
│ │                   File                    │       Purpose       │          │
│ ├───────────────────────────────────────────┼─────────────────────┤          │
│ │ screens/MFASetupScreenMobile.tsx          │ 2FA setup           │          │
│ ├───────────────────────────────────────────┼─────────────────────┤          │
│ │ screens/PhoneVerificationScreenMobile.tsx │ Phone verify        │          │
│ ├───────────────────────────────────────────┼─────────────────────┤          │
│ │ screens/PasskeyManagementScreenMobile.tsx │ Passkey management  │          │
│ ├───────────────────────────────────────────┼─────────────────────┤          │
│ │ screens/ConnectedAccountsScreenMobile.tsx │ Linked accounts     │          │
│ ├───────────────────────────────────────────┼─────────────────────┤          │
│ │ hooks/useMFA.ts                           │ MFA state hook      │          │
│ ├───────────────────────────────────────────┼─────────────────────┤          │
│ │ hooks/usePasskeyNative.ts                 │ Native passkey hook │          │
│ └───────────────────────────────────────────┴─────────────────────┘          │
│                                                                              │
│ Reuse: shared/services/api/securityService.ts, shared/components/passkey/*   │
│ Routes: MFASetup, PhoneVerification, PasskeyManagement, ConnectedAccounts    │
│                                                                              │
│ ---                                                                          │
│ Phase 7: Home & Discovery (~8 new files, 2 new routes)                       │
│                                                                              │
│ ┌────────────────────────────────────────┬────────────────────┐              │
│ │                  File                  │      Purpose       │              │
│ ├────────────────────────────────────────┼────────────────────┤              │
│ │ components/home/SpotlightSection.tsx   │ Spotlight carousel │              │
│ ├────────────────────────────────────────┼────────────────────┤              │
│ │ components/home/RadioStationsRow.tsx   │ Radio row          │              │
│ ├────────────────────────────────────────┼────────────────────┤              │
│ │ components/home/LocationContentRow.tsx │ Location row       │              │
│ ├────────────────────────────────────────┼────────────────────┤              │
│ │ components/home/index.ts               │ Barrel export      │              │
│ ├────────────────────────────────────────┼────────────────────┤              │
│ │ screens/HelpScreenMobile.tsx           │ Help center        │              │
│ ├────────────────────────────────────────┼────────────────────┤              │
│ │ screens/AIOnboardingScreenMobile.tsx   │ AI onboarding      │              │
│ ├────────────────────────────────────────┼────────────────────┤              │
│ │ hooks/useAIOnboarding.ts               │ Onboarding state   │              │
│ └────────────────────────────────────────┴────────────────────┘              │
│                                                                              │
│ Routes: Help, AIOnboarding                                                   │
│                                                                              │
│ ---                                                                          │
│ Phase 8: Missions, Widgets & Kids (~14 new files, 1 new route)               │
│                                                                              │
│ ┌────────────────────────────────────────────┬──────────────────────┐        │
│ │                    File                    │       Purpose        │        │
│ ├────────────────────────────────────────────┼──────────────────────┤        │
│ │ components/missions/FamilySnaps.tsx        │ Family photo game    │        │
│ ├────────────────────────────────────────────┼──────────────────────┤        │
│ │ components/missions/VoiceDecision.tsx      │ Voice decision tree  │        │
│ ├────────────────────────────────────────────┼──────────────────────┤        │
│ │ components/missions/index.ts               │ Barrel export        │        │
│ ├────────────────────────────────────────────┼──────────────────────┤        │
│ │ screens/WidgetGalleryScreenMobile.tsx      │ Widget gallery       │        │
│ ├────────────────────────────────────────────┼──────────────────────┤        │
│ │ components/widgets/SystemWidgetCard.tsx    │ Widget card          │        │
│ ├────────────────────────────────────────────┼──────────────────────┤        │
│ │ components/widgets/SystemWidgetGallery.tsx │ Widget grid          │        │
│ ├────────────────────────────────────────────┼──────────────────────┤        │
│ │ components/widgets/CreateWidget.tsx        │ Widget creator       │        │
│ ├────────────────────────────────────────────┼──────────────────────┤        │
│ │ components/kids/TalkBackDashboard.tsx      │ Kids voice dashboard │        │
│ ├────────────────────────────────────────────┼──────────────────────┤        │
│ │ components/kids/VocabularyTracker.tsx      │ Vocabulary tracker   │        │
│ ├────────────────────────────────────────────┼──────────────────────┤        │
│ │ components/kids/index.ts                   │ Barrel export        │        │
│ ├────────────────────────────────────────────┼──────────────────────┤        │
│ │ components/shared/BreadcrumbBar.tsx        │ Breadcrumb nav       │        │
│ ├────────────────────────────────────────────┼──────────────────────┤        │
│ │ components/shared/CultureClock.tsx         │ Cultural clock       │        │
│ └────────────────────────────────────────────┴──────────────────────┘        │
│                                                                              │
│ Route: WidgetGallery                                                         │
│                                                                              │
│ ---                                                                          │
│ Summary                                                                      │
│                                                                              │
│ ┌────────────────────────┬─────────────┬───────────┬──────────────────────── │
│ ─┐                                                                           │
│ │         Phase          │  New Files  │   New     │          Focus          │
│  │                                                                           │
│ │                        │             │  Routes   │                         │
│  │                                                                           │
│ ├────────────────────────┼─────────────┼───────────┼──────────────────────── │
│ ─┤                                                                           │
│ │ 0: Wire existing       │ 0 (modify   │ ~8        │ Fix unregistered        │
│  │                                                                           │
│ │ screens                │ 2)          │           │ screens                 │
│  │                                                                           │
│ ├────────────────────────┼─────────────┼───────────┼──────────────────────── │
│ ─┤                                                                           │
│ │ 1: Player enhancements │ ~35         │ 0         │ Core streaming UX       │
│  │                                                                           │
│ ├────────────────────────┼─────────────┼───────────┼──────────────────────── │
│ ─┤                                                                           │
│ │ 2: Gamification        │ ~20         │ 2         │ Retention/engagement    │
│  │                                                                           │
│ ├────────────────────────┼─────────────┼───────────┼──────────────────────── │
│ ─┤                                                                           │
│ │ 3: Social              │ ~15         │ 3         │ Community features      │
│  │                                                                           │
│ ├────────────────────────┼─────────────┼───────────┼──────────────────────── │
│ ─┤                                                                           │
│ │ 4: Cultural & content  │ ~16         │ 4         │ Content enrichment      │
│  │                                                                           │
│ ├────────────────────────┼─────────────┼───────────┼──────────────────────── │
│ ─┤                                                                           │
│ │ 5: ZehAni advanced     │ ~18         │ 1         │ Avatar/AI features      │
│  │                                                                           │
│ ├────────────────────────┼─────────────┼───────────┼──────────────────────── │
│ ─┤                                                                           │
│ │ 6: Auth & security     │ ~8          │ 4         │ Security hardening      │
│  │                                                                           │
│ ├────────────────────────┼─────────────┼───────────┼──────────────────────── │
│ ─┤                                                                           │
│ │ 7: Home & discovery    │ ~8          │ 2         │ Content discovery       │
│  │                                                                           │
│ ├────────────────────────┼─────────────┼───────────┼──────────────────────── │
│ ─┤                                                                           │
│ │ 8: Missions & widgets  │ ~14         │ 1         │ Advanced engagement     │
│  │                                                                           │
│ ├────────────────────────┼─────────────┼───────────┼──────────────────────── │
│ ─┤                                                                           │
│ │ Total                  │ ~134        │ ~25       │ Full iOS parity         │
│  │                                                                           │
│ └────────────────────────┴─────────────┴───────────┴──────────────────────── │
│ ─┘                                                                           │
│                                                                              │
│ Patterns to Follow                                                           │
│                                                                              │
│ - Screen naming: {Feature}ScreenMobile.tsx                                   │
│ - Lazy loading: React.lazy() with LazyScreen() HOC                           │
│ - Styling: StyleSheet.create() + @olorin/design-tokens colors/spacing        │
│ - UI components: GlassView, GlassButton from @bayit/shared/ui                │
│ - API: Domain services from @bayit/shared-services/api                       │
│ - State: React Query for server data, Zustand for client state               │
│ - i18n: useTranslation() from react-i18next                                  │
│ - Logging: logger.scope('ComponentName')                                     │
│ - 200-line limit: Split large screens into sub-components in                 │
│ components/{feature}/                                                        │
│ - Accessibility: Full accessibilityLabel, accessibilityHint,                 │
│ accessibilityRole                                                            │
│                                                                              │
│ Verification                                                                 │
│                                                                              │
│ After each phase:                                                            │
│ 1. Build Android: cd mobile-app && npx react-native run-android              │
│ 2. Verify navigation: every new route navigable from appropriate entry       │
│ points                                                                       │
│ 3. Verify i18n: all new strings have translations in all 10 locale files     │
│ 4. Verify accessibility: all interactive elements have a11y props            │
│ 5. Run tests: cd mobile-app && npm test                                      │
╰──────────────────────────────────────────────────────────────────────────────╯

⏺ I'll start by exploring the existing mobile app codebase to understand current
   patterns before implementing. Let me examine the key files in parallel.

⏺ Searched for 2 patterns, read 2 files (ctrl+o to expand)

⏺ Let me explore the correct paths for the mobile app.

⏺ Searched for 3 patterns, read 1 file (ctrl+o to expand)

⏺ Let me look at existing screen patterns and shared resources.

⏺ Searched for 1 pattern, read 2 files (ctrl+o to expand)

⏺ Now let me check shared components, services, and existing components in the
  mobile app.

⏺ Bash(find /Users/olorin/Documents/Projects/olorin/olorin-media/bayit-plus/mobi
      le-app/src/components -name "*.tsx" -o -name "*.ts" | sort)
  ⎿  /Users/olorin/Documents/Projects/olorin/olorin-media/bayit-plus/mobile
     -app/src/components/AppContent.tsx
     /Users/olorin/Documents/Projects/olorin/olorin-media/bayit-plus/mobile
     … +89 lines (ctrl+o to expand)

⏺ Bash(find /Users/olorin/Documents/Projects/olorin/olorin-media/bayit-plus/mobi
      le-app/src/hooks -name "*.ts" -o -name "*.tsx" | sort)
  ⎿  /Users/olorin/Documents/Projects/olorin/olorin-media/bayit-plus/mobile
