text,user_provided_answer
which bank account are my payment links going to?,"Is this helpful?<p>To check which bank account your payment links are going to, please follow these steps:nn#. Go to the Gear icon in the top right corner of your QuickBooks Online account.n#. Select 'Account and Settings' under 'Your Company'.n#. Click on 'Payments' on the left-hand menu.n#. Under 'Deposit Account', you will see the bank account that your payments are being deposited to.nnIf you have any further questions or concerns, please let me know."
HOW DO I SETUP WITHHOLDING IN MORE THATN OEN STATE,"Was this helpful?<p>Sure, here's a summary of how to set up withholding in more than one state in QuickBooks:nn#. Go to the 'Employees' menu and select 'Payroll Center'.n#. Click on the 'Taxes' tab and then select 'Manage State Taxes'.n#. In the 'Manage State Taxes' window, click on the 'Add New State' button.n#. Select the state you want to add from the drop-down list and click on the 'Continue' button.n#. Enter the required information, such as the state tax ID, state tax rate, and state tax filing frequency.n#. Click on the 'Save' button to save the new state tax information.nnHere are some additional tips for setting up withholding in more than one state:nn- Make sure you have the correct state tax ID and state tax rate for each state.n- If you have employees who work in multiple states, you will need to set up withholding for each state in which they work.n- You may need to file separate state tax returns for each state in which you have employees.nnIf you need further assistance with setting up withholding in more than one state, you can contact QuickBooks support."
Give feedback,"Was this helpful?<p>Certainly! Here's how you can submit your valuable feedback to help improve QuickBooks Online:nn#. Sign in to your QuickBooks Online account.n#. Click on the **Gear** icon located at the top right corner of the screen.n#. Select **Feedback**.n#. Enter your comments or product suggestions in the provided text box.n#. Click on **Next** to submit your feedback.nnYour feedback will be sent directly to our Product Development team, who will review it and consider it for future improvements to QuickBooks Online.nnAdditionally, you can also track the status of your feature requests through the QuickBooks Online Feature Requests website. This way, you can stay updated on the progress of your suggestions and see how they are being implemented to enhance your experience with QuickBooks Online."
Give feedback,"Was this helpful?<p>Certainly! Here's how you can submit your valuable feedback to help improve QuickBooks Online:nn#. Sign in to your QuickBooks Online account.n#. Click on the **Gear** icon located at the top right corner of the screen.n#. Select **Feedback**.n#. Enter your comments or product suggestions in the provided text box.n#. Click on **Next** to submit your feedback.nnYour feedback will be sent directly to our Product Development team, who will review it and consider it for future improvements to QuickBooks Online.nnAdditionally, you can also track the status of your feature requests through the QuickBooks Online Feature Requests website. This way, you can stay updated on the progress of your suggestions and see how they are being implemented to enhance your experience with QuickBooks Online."
total payroll amount,"Is this helpful?<p>To calculate the total payroll amount, you will need to add up the gross pay for all employees and subtract any payroll deductions. Here are the steps to calculate the gross pay and net pay for an individual employee:nn#. Determine the employee's gross pay by adding up their regular pay, overtime pay, bonuses, and any other pay types.n#. Subtract any pre-tax deductions, such as ###(k) contributions or health insurance premiums, from the gross pay to get the taxable gross pay.n#. Calculate the taxes to be withheld, including federal income tax, Social Security tax, and Medicare tax.n#. Subtract the total payroll deductions, including taxes and any post-tax deductions, from the taxable gross pay to get the net pay.nnRepeat these steps for each employee to get the total payroll amount. If you have QuickBooks Online Payroll, you can run payroll and the system will calculate the total payroll amount for you."
"Can someone explain why my chase bank is not updating with QuickBooks. Thanks, John Morris","If you are receiving an error message when trying to update your Chase Bank information in QuickBooks Online, it may be due to Chase security guidelines. Customers can link Chase accounts with a Chase Online Banking ID to only one QuickBooks Online company at a time. If you try to link the same Chase account to multiple QuickBooks Online companies, you may see the error message 'Your login information was not accepted. Please make sure you're using the same information you use to log into your bank's website.' nnTo link a single Chase Bank account to multiple QuickBooks Online companies, the Chase Account Owner needs to add an authorized user for each QuickBooks company. Then, the authorized user can link the Chase Bank to QuickBooks using their unique Chase Online Banking ID. If you need further assistance, I recommend speaking to a QuickBooks expert for more personalized help.<p>Is this helpful?"
ITS ALREADY CONNECTED,"If your American Express Business account is already connected to another QuickBooks Online company for online banking, you will need to disconnect it from the current company before connecting it to a new one. Here are the steps to follow:nn#. Open the QuickBooks company the account is currently connected to.n#. Disconnect the American Express Business account.n#. Open the QuickBooks company you want to connect the account to.n#. Connect your American Express Business account.nnIf you need further assistance, I recommend speaking to a QuickBooks expert for more personalized help.<p>Is this helpful?"
federal tax not taken out,"Was this helpful?<p>Sure, I can help you understand why federal tax may not be taken out of your paycheck. Here's a summary of the reasons, followed by some details:nn**Reasons for <amount> Federal Tax Withholding:**nn#. **Updated W-# Form:** If you recently changed or updated your W-# form, you may be subject to new IRS withholding rules that result in <amount> federal tax withholding.nn#. **Low Income:** Sometimes, your wages may be below the threshold for federal withholding. For instance, if you're single and paid every two weeks, you must earn at least <amount> before federal withholding applies.nn#. **Varying Paychecks:** If you're an hourly employee with fluctuating hours, your federal income tax amounts may vary paycheck to paycheck due to annualized tax calculations.nn**Additional Information:**nn- The IRS released a new W-# in January ####, which increased the standard deduction and lowered federal withholding.nn- If you want extra withholding, you can review and update your W-# or provide a new one to your employer at any time.nn- You can refer to IRS Publication ##-T for more details on tax calculations.nnIf you have any further questions or need assistance with managing your taxes in QuickBooks, feel free to ask."
I want to re-set all the accounts. I want to start over with this company,"Yes, you can reset all accounts and start over with your company in QuickBooks Online. The steps you need to follow depend on how old your books are. If your books are ## days old or older, you'll need to cancel your current QuickBooks Online company and start a new one. If your books are less than ## days old, you can purge your data without starting a new company. nnHere are the steps to reset your accounts and start over in QuickBooks Online:n- Sign in to your QuickBooks Online account as an adminn- If your books are ## days old or older, follow these steps:n #. Cancel your current company and payroll subscription (if you have one)n #. Start a new company by signing up for QuickBooks Online and adding payroll (if you had it before)n #. Delete your company data by opening this link: https://app.qbo.intuit.com/app/purgecompanyn- If your books are less than ## days old, follow these steps:n #. Make sure your company is ready to be purgedn #. Delete your company data by opening this link: https://app.qbo.intuit.com/app/purgecompanynOnce the process is finished, you can start your books from scratch.<p>Is this helpful?"
how does qb compute deductions,"Is this helpful?<p>QuickBooks Online Payroll automatically calculates deductions based on the employee's W-# information and the current tax laws. The system calculates federal and state taxes, Social Security, Medicare, and any other deductions that you have set up for your employees. You can also set up pre-tax deductions such as ###(k) contributions or health insurance premiums. If you have any questions about how QuickBooks Online Payroll calculates deductions, you can contact a QuickBooks expert for further assistance."
Inuit reported wages wrong on W-# need help,"If you have QuickBooks Online Payroll and have auto pay and file turned on, you'll need to contact us to request a correction. We’ll fix it and file a W-2c form with the SSA. You’ll also receive a copy of the W-2c to provide to your employee, and an updated W-# copy to print for your records. If you have auto pay and file turned off, you can fix the issue in your product, then file your W-# forms as you normally would. If you or your employee finds the mistake after you file your W-2s and W-3, you need to create and file a W-2c and W-# form with the Social Security Administration manually. To do this, see the General Instructions for Forms W-2c and W-3c section in General Instructions for Forms W-# and W-#. Please let me know if you have any other questions or if there's anything else I can help you with.<p>Is this helpful?"
How do I change the currency on an account.,"To change the currency on an account in QuickBooks, please follow these steps:nn#. Go to Settings# then select Chart of accounts.n#. Find the account you want to change and select Edit ✎.n#. In the Currency section, select the currency you want to use from the dropdown menu.n#. Enter the Starting balance and Starting date for the account.n#. Fill out the Description field.n#. Select Save.nnPlease note that once a transaction has been posted to an account, you can no longer change the account's currency. If you have any further questions or concerns, please don't hesitate to reach out to a QuickBooks expert for assistance.<p>Is this helpful?"
Need help changing the subscription,"Sure, I can help you with that. Can you please provide me with more information about what you would like to change in your subscription? Would you like to upgrade or downgrade your plan, change your billing schedule, or cancel your subscription?"
Invoice date is incorrect when adding new invoice,"Is this helpful?<p>To fix an incorrect invoice date, you can follow these steps:nn#. Go to Sales, then select Invoices.n#. Select the invoice in question, then select Edit invoice.n#. Change the invoice date to the correct date.n#. Select Save and close.nnIf you are using the due on receipt payment terms and the invoice date still doesn't match the due date, you can follow the steps I provided earlier to fix the inconsistency in the due date and invoice date. Let me know if you have any further questions or concerns."
How can I check what an employees garnishments are,"To check an employee's garnishments in QuickBooks Online Payroll, please follow these steps:nn#. Go to the Employees tab and select the employee you want to check.n#. Click on the Paycheck List tab.n#. Find the paycheck you want to view and click on the net pay amount.n#. Click on the Details button.n#. Scroll down to the Deductions section to view the garnishments.nnIf you are using QuickBooks Desktop Payroll, please follow these steps:nn#. Go to the Employees Center and select the employee you want to check.n#. Click on the Payroll Info tab.n#. Click on the Deductions button.n#. Find the garnishment deduction you want to view and click on it.n#. Click on the View/Edit button to view the details.nnIf you have any further questions or need additional assistance, please don't hesitate to contact a QuickBooks expert.<p>Is this helpful?"
I need to open a new quickbooks online account,"Is this helpful?<p>To open a new QuickBooks Online account, please follow these steps:nn#. Go to the QuickBooks Online website.n#. Click on the 'Buy Now' button.n#. Choose the plan that best fits your needs.n#. Enter your email address and create a password.n#. Enter your business information.n#. Enter your payment information.n#. Click on the 'Subscribe' button.nnOnce you have completed these steps, you will have a new QuickBooks Online account. If you have any further questions or need assistance with anything else, please let me know."
"Hello, our quickbooks has not been connecting to Chase for a few weeks","Is this helpful?<p>I'm sorry to hear that you're having trouble connecting your Chase account to QuickBooks. This is a common issue that can be resolved by following a few steps. Here's what you can do:nn#. Check to make sure that your Chase account is still active and in good standing.n#. Verify that you are using the correct login information for your Chase account.n#. If you have already connected your Chase account to a different QuickBooks Online company, you may need to add an authorized user for each QuickBooks company in order to link the same Chase account to multiple QuickBooks Online companies.nnIf you continue to experience issues, I recommend reaching out to a QuickBooks expert for further assistance. They will be able to provide more personalized support and help you troubleshoot the issue."
"Hello, When I try to submit ####s for contractors, I receive an error message. and to try again later. I've been trying for a couple of days","Is this helpful?<p>I'm sorry to hear that you're having trouble submitting your ####s. Here's what you can do:nn#. Check if there are any updates available for QuickBooks Online.n#. Clear your browser's cache and cookies.n#. Try submitting the ####s again after completing the above steps.nnIf the issue persists, please provide me with the exact error message you're receiving so that I can assist you better."
"Hello, I'm trying to 'start reconciling' but it's not going past it","When you say it's not going past 'start reconciling,' can you please provide more context or information about what you are experiencing? This will help me better understand the issue and provide you with the appropriate solution.<p>Is this helpful?"
manage subscription,"Sure, I can help you manage your subscription. What specifically would you like to do?"
Need some permission help,"Of course, I'd be happy to help! Can you please provide more information about what kind of permission help you need in QuickBooks?"
bank account,"Performing monthly bank reconciliations can help you manage your cash flow and understand your true cash position. Bank reconciliations are a process of matching the balances in your accounting records to the corresponding information on a bank statement. This helps you identify any discrepancies and prevent common accounting errors. To perform a bank reconciliation, you'll need your bank statement, internal accounting records, and a record of any pending cash transactions. Here are the steps to follow:nn#. Compare your bank statementsn#. Add bank-only transactions to your book balancen#. Add book transactions to your bank balancen#. Compare both adjusted balancesnnIf you use QuickBooks, your reconciliation is done largely for you. However, it's important to understand the reconciliation process as a business owner. If you have any further questions or need assistance, please let me know.<p>Is this helpful?"
error on transactions page,Is this helpful?<p>Thank you for reaching out. Can you please provide more information about the error you are experiencing on the transactions page? This will help me provide you with the most accurate solution.
manage subscription,"Sure, I can help you manage your subscription. What specifically would you like to do?"
find in my account,"Is this helpful?<p>I'm sorry, could you please provide more context or information about what you are trying to find in your account? This will help me provide you with the most accurate and helpful response."
reconnect accounts,I'm happy to help you with reconnecting your accounts. Can you please clarify which accounts you are referring to? Are you trying to reconnect your bank accounts for bank reconciliation in QuickBooks?
Having trouble updating bank account information,"To update your bank account information in QuickBooks Online, you can use either automatic or manual updates. Here's how to perform a manual update:nn#. Go to Transactions and select Bank transactions.n#. Select Update.n#. If prompted, enter your Multi-Factor Authentication (MFA) credentials and select Continue update. You must enter these credentials within # minutes of being prompted. Multi-Factor Authentication is any security precaution that requests more than a single username and password.nnIf you continue to have trouble updating your bank account information, please contact a QuickBooks expert for further assistance.<p>Is this helpful?"
"Need help with transaction changes,","Sure, I'd be happy to help you with that. Can you please provide me with more information about the changes you need to make?"
i dont see the icon,"Is this helpful?<p>I'm sorry to hear that you're having trouble finding the print icon. If you're using Google Chrome, the print icon may be missing due to the default .pdf plugin that doesn't have a print button. If you're using Internet Explorer ##, you may not see a Print button because IE ## doesn't support native print at this time. Here's how you can print in each browser:nn- To print in Google Chrome, locate the sales form you'd like to print. Select Print or Preview at the bottom. Right-click anywhere on the preview and select Print. Be sure you keep the original preview window open. After printing, return to the original preview window and select the Close button. n- To print in Internet Explorer ##, select the link in the top-left corner of the Print Preview screen or press Ctrl+P.nnI hope this helps! Let me know if you have any other questions."
I need to order supplies,Great! I can definitely help you with that. What specific supplies do you need to order for QuickBooks Online?
Payroll is messed up again today. Please help.,I'm sorry to hear that you're having trouble with your payroll. I can definitely help you with that. Can you please provide me with more information about the issue you're experiencing? Are you having trouble reconciling your payroll or is there an issue with your employees' paychecks?
confirm bank account,"Is this helpful?<p>To confirm your bank account in QuickBooks Online Payroll, you need to verify a test transaction made to your bank account. Here are the steps to follow:nn#. Look for the test transaction amount: The test transaction amount of less than <amount> will be posted to your bank account within # banking days after setting up your bank account in QuickBooks Online Payroll.nn#. Enter the test transaction amount: Once you have the test transaction amount ready, enter it in your QuickBooks Payroll without the decimal point. Go to Payroll, then Overview. From your To Do List, select Let's Go on Check your bank account item. Select Verify Amount. Enter and confirm the transaction amount (no decimal point). Select Verify.nnIf you have any issues verifying your bank account, please contact a QuickBooks expert for further assistance."
where do I see my money in,"Is this helpful?<p>As a QuickBooks customer support assistant, I can help you keep track of your money flowing through your company. Here are some steps to see your money in QuickBooks:nn#. Log in to your QuickBooks account.n#. Click on the 'Reports' tab on the left-hand side of the screen.n#. Select the 'Profit and Loss' report to see your income and expenses.n#. You can also view your balance sheet and cash flow statement to get a better understanding of your financial situation.n#. If you need further assistance, you can speak to a QuickBooks expert for professional help.nnRemember, it is critical for every small business owner to have a process to keep track of their money. By tracking your money, you can mitigate and eliminate risks and make informed decisions for the future of your business."
Payment types error,Is this helpful?<p>I'm sorry to hear that you're experiencing an error with payment types. Can you please provide me with more information about the error you're seeing? This will help me better understand the issue and provide you with the appropriate solution.
help with payment links,"Sure, I can help you with payment links. Can you please clarify what you mean by payment links? Are you referring to creating payment links in QuickBooks or using payment links from a payment gateway?"
Quickbooks assistant,Hello! How can I assist you with QuickBooks bookkeeping services today?
tags,"Sure, here's a summary of tags in QuickBooks:nnTags are customizable labels that let you track your money however you want. When you put tags into groups, you get deeper insights into how your business is doing.nnHere are some key points about tags:nn#. You can tag transactions such as invoices, expenses, and bills.n#. You can add as many tags as you like to a transaction, but you can only choose one tag per group.n#. Tags are more flexible than categories and don't affect your books.n#. Tags track things at the transaction level, while classes group income and expenses for specific purposes.n#. Locations track income, expenses, and assets for multiple sites or areas.nnTo turn off tags, go to **Settings** > **Account and Settings** > **Sales** tab and turn off **Tags**. Then go to the **Expenses** tab and turn off **Show Tags field on expense and purchase forms**.<p>Was this helpful?"
manage books help,"As a QuickBooks customer support assistant, I can definitely help you with managing your books. Can you please provide me with more information on what specifically you need help with? Do you have any questions or concerns regarding bookkeeping in QuickBooks?"
multi-factor,"Is this helpful?<p>Multi-factor authentication is an additional security feature that provides extra protection against password theft. When you sign in to your QuickBooks account, we'll send you a one-time confirmation code through your email or mobile device. This ensures that it's really you who is accessing your account. You may be asked to verify your identity more than once due to factors such as the device, network, or browser you use to sign in. If you need to change the phone number you use for verification, you can do so by going to Workforce, selecting Settings, then Account settings, and finally Sign in and Security. Follow the on-screen steps to update your phone number. If you no longer have access to your email or phone number, please let me know and I can provide you with further assistance."
What is the discount offered during the Black Friday sale for Payroll & QuickBooks?,70% OFF Payroll & QuickBooks for 3 months.
When does the Black Friday sale end?,The Black Friday sale ends on Nov 26.
What are some of the products offered by QuickBooks?,"Some of the products offered by QuickBooks include Accounting, Advanced accounting, Virtual bookkeeping, Payroll, Pay contractors, Time tracking, Accept payments, Payments and banking, and Enterprise."
What are some of the features provided by QuickBooks?,"Some of the features provided by QuickBooks include Invoice, Track expenses, Manage bills, Get tax deductions, Run reports, Track miles, Manage projects, Calculate sales tax, Manage e-commerce, Get paid and pay bills, Manage banking, Get a loan, and See all features."
How do you turn on payroll for a client's company file in QuickBooks Online Accountant?,"1. Select 'Go to your client's QuickBooks' on the Toolbar. 2. Choose your client's company. 3. Select 'Workers', then 'Employees'. 4. Select 'Get started.' 5. You'll then be guided to select the Payroll you want."
What should you do if you want to file your taxes yourself after turning on payroll?,"1. Select 'See Your Plan.' Review the information provided. 2. If you agree, select 'Next.' (Otherwise, select 'Back' and go with the other option.) 3. Your payroll is now active. Select 'Get started with payroll' to complete the necessary information. 4. Complete the requested information about your business and select 'Continue.' 5. Complete the rest of the screens, selecting 'Continue' after each one."
What steps should you follow if you want QuickBooks Payroll to do all the filings for you?,"1. Select 'See Your Plan.' Review the information provided. 2. If you agree, select 'Next.' (Otherwise, select 'Back' and go with the other option.) 3. Call the 1-800 number on the page (or complete the form to have an agent call you back) to complete your signup."
How can you check and update the company address in QuickBooks?,"1. Go to 'Settings' ⚙, then select 'Account and Settings.' 2. Update company address if it's not correct, then 'Save.'"
What should you do if the payroll state defaults to the company address and you need to change it?,"1. Let the customer add a dummy Company Address to proceed. 2. Walk the customer through adding a new work location by going to: * Select the 'Gear icon' on the Toolbar, then 'Payroll Settings.' * Go to 'Work Locations.' * Select 'Add a Work Location.' 3. Add the correct work location, then 'Save.' 4. Once the correct address is added, in 'CS Server,' switch the correct work location as the primary one. 5. Walk the customer through deleting the incorrect location by going to: * Select the 'Gear icon' on the Toolbar, then 'Payroll Settings.' * Go to 'Work Locations.' 6. Select the incorrect work location, then select 'Delete.' 7. Select 'Yes' to confirm deletion."
When can employees opt out of a mailed copy of their W-2 through QuickBooks Workforce?,Employees can opt out of a mailed copy of their W-2 through QuickBooks Workforce now through January 3.
When can you preview your W-2s in QuickBooks Online Payroll?,"You can preview W-2s in QuickBooks Online Payroll from December 4, 2023 through January 1, 2024."
Who files your W-2s if you have QuickBooks Desktop Payroll Assisted?,QuickBooks files your W-2 forms for you with the SSA and IRS shortly after January 1 if you have QuickBooks Desktop Payroll Assisted.
When are W-2s available to view and print in QuickBooks Desktop Payroll Enhanced and Standard?,W-2s are available to view and print starting January 1 in QuickBooks Desktop Payroll Enhanced and Standard.
When can employees view and print copies of their W-2s in QuickBooks Workforce?,Employees can view and print copies of their W-2s by January 31 in QuickBooks Workforce.
What is the New York Metropolitan Commuter Transportation Mobility Tax (NY MCTMT)?,NY MCTMT is a company-paid tax for businesses within the NY metropolitan commuter transportation district. It calculates based on an employer's total payroll expenses (wages and compensation) in any calendar quarter.
What are the two separate zones for wage tracking and reporting under NY MCTMT?,"The two separate zones for wage tracking and reporting under NY MCTMT are Zone 1 and Zone 2. Zone 1 counties include New York (Manhattan), Bronx, Kings (Brooklyn), Queens, and Richmond (Staten Island). Zone 2 counties include Rockland, Nassau, Suffolk, Orange, Putnam, Dutchess, and Westchester."
What are the NY MCTMT rates for Zone 1 counties?,"The NY MCTMT rates for Zone 1 counties are as follows: Over $0 but not over $375,000: .11% (.0011), Over $375,000 but not over $437,500: .23% (.0023), Over $437,500: .60% (.0060)."
How do you add or change the NY MCTMT county on your employees in QuickBooks Online Payroll?,"To add or change the NY MCTMT county on your employees in QuickBooks Online Payroll: 1. Go to Payroll, then Employees. 2. Select your employee. 3. From Tax withholding, select Edit. 4. From Local taxes, select [County] Mctmt Er, [County]. 5. Select Save. 6. Repeat steps 2 - 5 for each NY employee."
What should you do if you ran any payrolls with an incorrect zone in QuickBooks Desktop Payroll?,"If you ran any payrolls with an incorrect zone in QuickBooks Desktop Payroll, you’ll need to adjust your liabilities to fix it. If you use QuickBooks Desktop Payroll Assisted, contact QuickBooks support for help with this."
How is the New York Paid Family Leave program funded?,The New York Paid Family Leave program is funded by the collection of taxes from the employee. Employers have the option to pay on behalf of their employees.
Does Intuit debit or pay paid family leave for the state of New York?,"No, Intuit doesn't debit or pay paid family leave for the state of New York."
What are the steps to add New York Paid Family Leave to employees in QuickBooks Online Payroll?,"1. Go to Payroll, then select Employees. 2. Select your employee. 3. From Deductions & contributions, select Start or Edit. 4. Select +Add deduction/contribution. 5. For Deduction/contribution type, select Other taxable deductions. 6. For Type, select NY PFL. 7. Enter NY Paid Family Leave in the Description field. 8. Select Save, then Done."
How can you verify the tax was added for each employee in QuickBooks Desktop Payroll?,"1. Go to Employees and select Employee Center. 2. Double-click the employee's name to open the Edit Employee window. 3. Select the Payroll Info tab and select Taxes. 4. In the Taxes screen that pops up, select the Other tab. 5. Verify the New York Paid Family Leave item is there. 6. Select OK twice to close the window."
What should you do to update your rate or add your account number in QuickBooks Desktop Payroll?,1. Go to Lists then Payroll Item List. 2. Double-click the payroll item called NY – Paid Family Leave. 3. Select Next until you get to the Agency for employee-paid liability window. Next to Enter the number that identifies you to the agency window enter your account number. 4. Select Next. 5. Verify or update your rate. 6. Select Next until you can select Finish.
Who is considered self-employed for the purpose of self-employment tax?,"You're self-employed for this purpose if you're a sole proprietor (including an independent contractor), a partner in a partnership (including a member of a multi-member limited liability company (LLC) that is treated as a partnership for federal tax purposes) or are otherwise in business for yourself. The term sole proprietor also includes the member of a single member LLC that's disregarded for federal income tax purposes and a member of a qualified joint venture."
What is the minimum net earnings from self-employment required to pay self-employment tax?,You usually must pay self-employment tax if you had net earnings from self-employment of $400 or more.
What percentage of net earnings from self-employment is generally subject to self-employment tax?,"Generally, the amount subject to self-employment tax is 92.35% of your net earnings from self-employment."
What are the self-employment tax rates for social security and Medicare?,The law sets the self-employment tax rate as a percentage of your net earnings from self-employment. This rate consists of 12.4% for social security and 2.9% for Medicare taxes.
What are the threshold amounts for the Additional Medicare Tax on self-employment income?,"The threshold amounts are $250,000 for a married individual filing a joint return, $125,000 for a married individual filing a separate return, and $200,000 for all others."
What causes the error 'The name supplied already exists' in QuickBooks Online?,"The error 'The name supplied already exists' in QuickBooks Online is usually caused by importing data from QuickBooks Desktop or turning on payroll after adding employees in QuickBooks Online, or the customer, vendor, or employee name you're trying to add already exists in QuickBooks Online."
"How can you find a duplicate vendor, employee, or customer in QuickBooks Online?","To find a duplicate vendor, employee, or customer in QuickBooks Online, select '+ New', then select 'Check'. In the 'Payee' dropdown, enter the name you're trying to add. Duplicate names will appear on the list, indicating if they are added as a vendor, employee, or customer."
What should you do after finding a duplicate name in QuickBooks Online?,"After finding a duplicate name in QuickBooks Online, you can either change the name or make the profile inactive if it is no longer in use. Depending on what you need to edit, go to Payroll for employees, Expenses for vendors, or Sales for customers. Find and select the duplicate name and either edit the name or make the profile inactive."
"What are the steps to update the employee, vendor, or customer info in QuickBooks Online?","To update the employee, vendor, or customer info in QuickBooks Online, go to Payroll for employees, Expenses for vendors, or Sales for customers. Find and select the duplicate name and either edit the name (e.g., add a middle initial or a [1] at the end) or make the profile inactive if it is no longer in use."
"What should you do if you are still getting the error after trying to add an employee, vendor, or customer again in QuickBooks Online?","If you are still getting the error after trying to add an employee, vendor, or customer again in QuickBooks Online, you should contact QuickBooks support for assistance."
What should you do if you have a new company that needs payroll in QuickBooks Online Payroll?,You need to set up a new payroll subscription for each company as QuickBooks Online Payroll allows only one federal EIN per payroll subscription.
How can you enter your EIN in QuickBooks Online Payroll?,"You can enter your EIN by going to Settings, then Payroll settings, selecting Edit from Federal tax, entering your EIN, and then selecting Save and Done."
"How many EINs can QuickBooks Desktop Payroll Standard, Basic, Enhanced, or Enhanced for Accountant handle?","QuickBooks Desktop Payroll Standard, Basic, Enhanced, or Enhanced for Accountant can handle up to three EINs per payroll subscription, and Enhanced for Accountant Payroll can add up to 50 EINs."
